model,label,dataset,n_train,ridge_spearman_mean,ridge_spearman_std,n_repeats
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed811_m22,200,0.43134825399443033,0.033425491674965536,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed811_m22,500,0.45628796051191606,0.01905332839154728,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed811_m22,1000,0.5273897803348823,0.011019166835169762,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed811_m22,2000,0.59049370762456,0.004714084522753665,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed811_m22,5000,0.6280926475439716,0.0016648790136965666,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_si06,25,0.16685696185694318,0.08350036182291595,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_si06,50,0.21682862247035697,0.047854858509010355,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_si06,100,0.2662050349234277,0.045604793069175746,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_si06,200,0.2870115553368315,0.03470502975572657,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_si06,500,0.34682692544024674,0.02288538086313865,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_si06,1000,0.412363295380686,0.013802703283518528,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_si06,2000,0.4755146769705168,0.007242858904386149,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_si06,5000,0.519460051745722,0.003371880431538616,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_si06,25,0.417720722475452,0.07725572260245707,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_si06,50,0.46365500875123633,0.050466519307846576,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_si06,100,0.5336600242719733,0.04908952932887474,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_si06,200,0.5581625351464681,0.02691328318369075,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_si06,500,0.5984635435369537,0.016895696335253445,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_si06,1000,0.6480416035976413,0.007589274981108018,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_si06,2000,0.6758799222800697,0.0036645799531145307,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_si06,5000,0.6924627789606974,0.0029093476272035556,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,exp,25,0.0930141943282648,0.054568185857217955,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,exp,50,0.14926936291594778,0.04875119365464197,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,exp,100,0.18329172554412282,0.046528972108351135,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,exp,200,0.24367048032110392,0.030895664410370612,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,exp,500,0.2980622061834315,0.02190899765247312,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,exp,1000,0.3605125858224193,0.024440497441857275,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,exp,2000,0.4304238347348446,0.014330864773135662,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,exp,5000,0.4835288741082402,0.00831673935986549,20
